ID,population,DTA,ASI
W22 x TIL01 BC1S4# Line_C076,W22TIL01,85,0
W22 x TIL01 BC1S4# Line_C077,W22TIL01,83,0
W22 x TIL01 BC1S4# Line_C078,W22TIL01,81,0
W22 x TIL01 BC1S4# Line_C079,W22TIL01,86,0
W22 x TIL01 BC1S4# Line_C080,W22TIL01,86,-2
W22 x TIL01 BC1S4# Line_C081,W22TIL01,85,0
W22 x TIL01 BC1S4# Line_C082,W22TIL01,83,1
W22 x TIL01 BC1S4# Line_C083,W22TIL01,74,-6
W22 x TIL01 BC1S4# Line_C084,W22TIL01,81,-3
W22 x TIL01 BC1S4# Line_C085,W22TIL01,80,-3
W22 x TIL01 BC1S4# Line_C086,W22TIL01,77,1
W22 x TIL01 BC1S4# Line_C087,W22TIL01,77,-13
W22 x TIL01 BC1S4# Line_C089,W22TIL01,77,-2
W22 x TIL01 BC1S4# Line_C091,W22TIL01,77,-1
W22 x TIL01 BC1S4# Line_C092,W22TIL01,84,0
W22 x TIL01 BC1S4# Line_A001,W22TIL01,79,0
W22 x TIL01 BC1S4# Line_A002,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_A003,W22TIL01,86,-3
W22 x TIL01 BC1S4# Line_A004,W22TIL01,74,-4
W22 x TIL01 BC1S4# Line_A006,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_A007,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_A008,W22TIL01,69,-1
W22 x TIL01 BC1S4# Line_A010,W22TIL01,71,-2
W22 x TIL01 BC1S4# Line_A011,W22TIL01,71,-2
W22 x TIL01 BC1S4# Line_A013,W22TIL01,74,-1
W22 x TIL01 BC1S4# Line_A014,W22TIL01,70,-4
W22 x TIL01 BC1S4# Line_A015,W22TIL01,78,0
W22 x TIL01 BC1S4# Line_A016,W22TIL01,82,-1
W22 x TIL01 BC1S4# Line_A017,W22TIL01,71,0
W22 x TIL01 BC1S4# Line_A018,W22TIL01,67,-2
W22 x TIL01 BC1S4# Line_A019,W22TIL01,72,0
W22 x TIL01 BC1S4# Line_A020,W22TIL01,77,-3
W22 x TIL01 BC1S4# Line_A021,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_A022,W22TIL01,78,-2
W22 x TIL01 BC1S4# Line_A024,W22TIL01,71,2
W22 x TIL01 BC1S4# Line_A025,W22TIL01,70,0
W22 x TIL01 BC1S4# Line_A026,W22TIL01,79,4
W22 x TIL01 BC1S4# Line_A027,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_A029,W22TIL01,69,2
W22 x TIL01 BC1S4# Line_A030,W22TIL01,83,4
W22 x TIL01 BC1S4# Line_A031,W22TIL01,71,0
W22 x TIL01 BC1S4# Line_A033,W22TIL01,73,0
W22 x TIL01 BC1S4# Line_A034,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_A035,W22TIL01,79,-2
W22 x TIL01 BC1S4# Line_A037,W22TIL01,75,-1
W22 x TIL01 BC1S4# Line_A038,W22TIL01,70,-4
W22 x TIL01 BC1S4# Line_A039,W22TIL01,66,0
W22 x TIL01 BC1S4# Line_A040,W22TIL01,75,0
W22 x TIL01 BC1S4# Line_A043,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_A044,W22TIL01,71,-3
W22 x TIL01 BC1S4# Line_A045,W22TIL01,79,1
W22 x TIL01 BC1S4# Line_A046,W22TIL01,69,-3
W22 x TIL01 BC1S4# Line_A047,W22TIL01,68,-3
W22 x TIL01 BC1S4# Line_A048,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_A049,W22TIL01,86,0
W22 x TIL01 BC1S4# Line_A050,W22TIL01,67,-3
W22 x TIL01 BC1S4# Line_A051,W22TIL01,78,-2
W22 x TIL01 BC1S4# Line_A052,W22TIL01,70,1
W22 x TIL01 BC1S4# Line_A053,W22TIL01,72,0
W22 x TIL01 BC1S4# Line_A054,W22TIL01,76,0
