ID,population,RBN,CL,RL,DTF3,FT16,FT10
9679,2,,12.3207,53.5958,90.3407,89.4035,75.2002
9680,2,4.1804,10.3548,41.3619,70.5073,69.5896,69.0916
9681,2,3.9706,12.499,71.3085,102.4571,101.5117,72.3808
9682,2,3.4209,13.273,54.277,85.4253,84.4936,83.1041
9683,2,3.8532,12.1155,50.3264,82.5797,81.6437,70.3246
9684,2,1.6352,17.3686,59.4813,100.1351,99.2065,90.0175
9685,2,0.9229,17.6122,63.178,100.3148,99.3723,90.7313
9686,2,1.2289,16.1713,65.8586,98.6271,97.6912,90.2234
9687,2,0.9369,15.5801,63.4079,94.1277,93.1909,94.2309
9689,2,0.872,12.45,58.0738,93.5973,92.6526,73.9704
9690,2,1.2524,10.9926,62.1922,92.2976,91.3525,81.2838
9691,1,1.7712,10.4249,52.1213,76.2111,76.2489,76.335
9692,2,,12.9122,60.2749,81.5641,80.6355,77.9477
9693,2,1.6967,10.979,62.1933,85.6955,84.768,74.6258
9694,2,1.5907,14.8735,45.9165,85.1174,84.1815,83.1034
9695,2,1.991,14.1656,50.9626,95.0973,94.1634,108.4341
9696,2,1.4822,13.7192,57.8959,87.4912,86.5589,83.6665
9697,9,3.4378,11.4287,44.2886,61.3734,61.3783,79.2019
9698,9,4.6737,10.1902,46.9188,72.7219,72.709,82.6158
9699,9,3.0134,8.0465,45.6664,61.9973,62.0064,76.0346
9700,9,2.6899,7.9636,42.9674,79.1912,79.193,81.535
9701,9,2.6853,11.975,45.0163,80.2623,80.2742,87.1533
9703,9,,14.9164,51.6211,68.0629,68.0628,78.2582
9704,9,4.3905,7.2907,51.8035,68.6087,68.6246,77.2379
9705,9,7.4082,8.906,48.0182,65.3811,65.3825,73.2041
9706,9,2.2089,11.8352,46.6676,76.8509,76.8466,96.5908
9707,9,3.1808,12.6491,54.7936,71.076,71.0715,82.2173
9708,9,,4.4729,31.2443,83.2286,83.2329,90.5832
9709,9,3.5874,10.618,53.112,71.783,71.7789,83.6091
